Chart Title: ,Avg Percentage CPU for AFAS Next Production V1 in West Europe region  by VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mon, 03 Feb 2025 00:00:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, 09 Feb 2025 23:59:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain: 5 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregation type: Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grouping: VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart type: Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clstr004-SS_4,Clstr004-SS_2,Clstr004-SS_1,Clstr004-SS_0,Clstr003-SS_1,Clstr003-SS_4,Clstr004-SS_3,Clstr003-SS_3,Clstr003-SS_2,Clstr003-SS_0,Dbg002-SS_0,Clstr008-SS_1,Clstr008-SS_0,Clstr008-SS_2,Clstr008-SS_4,Clstr008-SS_3,Clstr009-SS_5,Clstr009-SS_6,Clstr009-SS_8,Clstr009-SS_7,Clstr009-SS_9,Clstr009-SS_1,Clstr009-SS_3,Clstr009-SS_4,Clstr009-SS_2,Clstr009-SS_0,proxy001L-SS_6,proxy001L-SS_7,proxy001L-SS_5,proxy001L-SS_8
2/3/2025 4:45,34.604,37.225,35.008,33.978,28.083,26.858,34.752,26.736,26.739,26.138,4.379,0.508,0.747,0.498,0.509,0.504,0.762,0.403,0.674,0.437,0.469,0.508,1.869,0.677,0.494,0.434,0.445,0.561,0.401,0.392
2/3/2025 4:50,34.59,37.13,36.047,36.247,26.179,27.425,35.117,32.072,25.519,26.769,4.394,0.437,0.741,7.668,0.43,0.514,0.828,0.653,0.513,2.245,0.495,0.36,0.467,0.598,2.177,0.509,0.383,0.419,0.44,0.376
2/3/2025 4:55,35.447,38.936,35.475,35.282,26.957,25.969,34.24,28.359,25.688,25.824,7.018,7.838,7.874,0.503,7.726,7.785,2.556,2.151,2.072,0.552,2.233,2.309,2.44,2.285,0.562,2.173,0.418,0.484,0.431,0.36
2/3/2025 5:00,36.723,39.015,37.546,36.862,27.381,28.619,35.949,29.769,28.63,26.764,4.482,0.474,0.749,0.481,0.452,0.56,0.794,0.892,0.781,0.611,0.681,0.588,0.594,0.479,0.486,0.783,0.422,0.511,0.443,0.389
2/3/2025 5:05,35.122,37.458,36.319,37.065,27.215,29.245,36.344,29.281,26.025,28.658,5.203,0.666,0.91,4.504,0.647,0.484,0.89,0.636,0.509,4.165,0.683,0.453,0.54,0.482,2.55,0.565,0.459,0.519,0.421,0.418
2/3/2025 5:10,37.174,39.844,36.009,35.065,30.189,27.071,34.816,26.365,25.345,25.507,5.376,4.257,4.552,0.512,4.375,4.653,4.36,3.98,3.981,0.695,4.153,4.108,3.042,4.174,2.328,4.294,0.528,0.651,0.661,0.462
2/3/2025 5:15,34.92,36.485,34.667,34.995,26.475,27.634,34.161,26.55,26.393,25.974,4.305,0.522,0.765,0.681,0.532,0.515,0.763,0.576,0.564,0.478,0.569,0.653,1.768,0.674,0.587,0.53,0.433,0.771,0.458,0.478
2/3/2025 5:20,34.652,36.875,35.975,37.56,26.246,28.401,34.608,27.52,25.74,27.326,4.491,0.434,0.733,7.629,0.454,0.499,0.81,0.625,0.521,2.348,0.599,0.575,0.514,0.565,2.291,0.533,0.579,0.519,0.434,0.421
2/3/2025 5:25,40.551,39.925,37.377,36.092,27.384,27.752,34.693,26.461,25.801,25.904,6.01,7.744,7.672,0.506,7.953,7.736,2.56,2.506,2.371,0.502,2.419,2.256,2.347,2.408,0.731,2.381,0.524,0.658,0.737,0.51
2/3/2025 5:30,44.221,45.785,42.876,42.194,30.016,32.617,41.225,31.07,31.536,28.607,6.518,0.458,0.742,0.492,0.448,0.563,0.835,0.704,0.529,0.666,0.568,0.394,0.706,0.599,0.573,0.537,0.548,0.835,0.752,0.413
2/3/2025 5:35,38.524,42.874,40.26,39.638,29.963,32.444,40.932,33.078,27.725,31.86,4.762,0.518,0.753,4.522,0.504,0.479,1.038,0.685,0.856,4.022,0.649,0.632,0.472,0.693,3.976,0.685,0.668,0.494,0.609,0.533
2/3/2025 5:40,35.916,40.69,35.627,34.758,28.607,26.517,34.379,26.657,26.508,25.971,5.342,4.432,4.686,1.518,4.381,4.482,4.145,3.858,3.847,0.52,3.952,3.877,2.956,3.952,0.593,3.938,0.54,0.692,0.542,0.539
2/3/2025 5:45,35.7,38.385,35.985,37.398,26.722,29.277,34.968,26.833,27.368,27.939,4.368,0.5,0.765,0.54,0.518,0.497,1.284,1.557,0.714,0.995,0.648,1.411,2.425,1.243,1.02,1.128,0.506,0.863,0.562,0.63
2/3/2025 5:50,35.079,38.595,36.427,36.2,26.63,28.044,36.966,27.297,27.71,28.392,4.407,0.44,0.743,7.991,0.431,0.51,2.107,0.825,0.779,2.637,2.341,1.201,1.604,0.759,2.291,1.082,0.761,0.712,0.933,0.657
2/3/2025 5:55,35.808,41.758,33.824,34.372,28.263,27.038,34.783,26.784,27.225,30.951,6.154,7.859,7.71,0.526,7.649,7.816,2.691,2.328,2.372,0.764,2.685,2.678,2.542,2.377,0.518,2.561,0.93,0.686,0.669,0.519
2/3/2025 6:00,36.775,39.416,36.634,37.191,28.402,28.355,37.149,28.069,29.104,27.493,4.46,0.464,0.758,0.522,0.443,0.526,1.457,1.801,1.504,2.384,1.972,1.97,2.307,2.275,2.238,2.246,0.737,0.628,1.205,1.068
2/3/2025 6:05,35.217,37.884,36.524,38.688,28.175,29.766,36.769,29.672,26.481,29.497,4.405,0.652,0.914,4.395,0.649,0.484,1.056,0.638,0.814,4.151,0.661,0.692,0.829,0.896,3.878,0.973,0.781,0.721,0.679,0.689
2/3/2025 6:10,37.829,40.33,36.647,34.733,28.686,26.962,36.603,26.917,26.078,26.517,5.378,4.277,4.617,0.499,4.196,4.557,4.439,4.092,4.462,0.656,4.067,4.171,2.92,4.187,0.581,4.029,1.187,0.868,0.716,0.749
2/3/2025 6:15,36.493,39.494,37.516,36.384,25.959,26.762,36.294,26.826,26.595,25.98,4.357,0.522,0.772,0.466,0.529,0.48,1.673,4.297,1.979,2.102,0.916,1.028,3.472,2.411,1.616,1.52,1.354,0.849,0.893,0.747
2/3/2025 6:20,35.53,38.78,37.485,36.532,26.812,27.931,37.297,27.917,26.046,27.906,4.358,0.431,0.751,7.637,0.441,0.513,1.761,4.174,2.308,3.657,1.636,2.249,1.552,1.92,3.521,1.833,0.918,1.022,0.841,0.573
2/3/2025 6:25,35.994,40.216,35.297,34.653,27.421,26.568,35.326,27.401,30.392,26.205,6.268,7.831,7.938,0.519,7.996,7.844,3.695,6.402,3.033,1.214,3.371111111,3.803,4.275,2.772,1.272,3.075,0.841,1.156,1,1.238
2/3/2025 6:30,36.708,43.978,38.078,37.352,28.696,30.172,35.594,28.84,30.67,28.394,4.384,0.466,0.782,0.476,0.479,0.525,1.564,0.898,1.215,1.107,0.951111111,1.441,2.43,1.54,0.98,0.879,0.96,0.918,0.989,0.776
2/3/2025 6:35,38.837,42.154,40.821,41.143,32.204,35.409,40.818,31.84,29.165,31.701,4.999,0.536,0.793,4.403,0.485,0.493,1.747,1.006,1.386,5.079,1.282,1.793,1.382222222,1.577,4.58,1.606,1.073,0.911,1.11,1.041
2/3/2025 6:40,41.114,42.791,43.535,39.459,32.734,31.889,39.181,32.323,32.949,32.391,5.396,4.415,4.728,0.655,4.591,4.492,5.617,5.662,4.935,1.584,5.092,5.68,1.618,4.724,1.279,5.184,2.251,2.301,2.174,2.016
2/3/2025 6:45,36.662,39.082,36.58,36.25,27.351,27.401,34.864,27.734,27.704,26.84,4.201,0.488,0.982,0.496,0.484,0.484,2.339,3.066,1.213,1.958,2.452,2.139,6.03,2.424,2.81,2.704,1.161,0.997,1.186,0.865
2/3/2025 6:50,36.116,38.701,37.944,37.551,27.065,28.126,37.939,28.385,26.199,27.39,4.259,0.463,0.74,7.674,0.518,0.519,1.544,2.2,1.187,3.083,2.413,2.236,1.268,1.196,2.783,1.441,1.208,1.125,1.318,0.977
2/3/2025 6:55,36.896,39.317,36.211,36.418,28.882,28.469,34.736,28.028,27.014,27.344,6.018,7.735,7.935,0.512,7.789,7.972,4.57,4.783,3.883,4.46,3.543,4.503,2.994,5.461,1.735,4.982,1.437,1.275,1.208,1.057
2/3/2025 7:00,40.681,41.974,39.346,39.599,31.837,28.805,38.39,28.48,29.481,28.286,5.609,0.448,0.748,0.478,0.471,0.518,4.101,3.313,2.917,3.435,2.458,4.742,4.81,3.348,2.62,3.074,2.57,2.009,1.943,1.958
2/3/2025 7:05,36.794,40.907,39.634,40.099,28.175,29.865,40.089,34.586,29.464,29.885,4.381,0.671,0.791,4.608,0.63,0.49,4.704,3.986,1.996,6.335,4.421,4.182,3.554,3.174,7.291,3.38,2.305,2.307,2.131,2.299
2/3/2025 7:10,39.382,44.801,38.231,37.441,29.148,27.75,36.694,27.302,28.625,26.566,6.809,4.333,4.676,0.504,4.259,4.538,8.472,6.699,8.605,3.243,7.534,9.95,4.305,7.056,4.023,6.41,1.722,1.629,1.828,1.537
2/3/2025 7:15,36.376,39.287,36.678,36.085,27.51,28.626,36.232,27.639,28.477,26.906,4.382,0.544,0.823,0.458,0.56,0.489,3.58,3.525,2.482,3.134,2.622,2.646,5.96,2.321,2.395,3.031,1.846,2.161,1.659,1.782
2/3/2025 7:20,40.178,40.386,39.749,39.493,28.395,28.977,39.927,29.373,26.333,27.858,12.517,0.458,0.795,7.658,0.462,0.519,2.88,2.724,4.377,3.936,2.333,4.144,2.624,2.987,4.938,4.119,2.652,2.512,2.511,2.625
2/3/2025 7:25,44.578,42.983,37.692,38.122,30.881,28.118,37.81,28.541,27.07,27.585,12.249,7.719,8.196,0.523,7.816,7.806,5.466,5.215,4.707,5.071,4.973,7.736,4.434,5.494,3.273,4.871,2.793,2.846,2.743,2.527
2/3/2025 7:30,40.023,43.896,39.596,40.265,31.704,31.919,40.03,29.914,31.683,30.708,5.578,0.439,0.77,0.484,0.475,0.551,2.223,2.986,3.676,2.894,2.063,3.184,2.889,1.361,1.502,2.926,2.307,2.666,3.017,2.117
2/3/2025 7:35,38.494,41.658,39.875,40.229,33.757,37.774,40.385,33.743,30.922,34.679,5.245,0.535,0.767,4.419,0.494,0.492,4.331,4.946,2.375,6.853,4.098,3.853,3.615,3.525,7.9,3.295,3.099,2.687,3.552,2.558
2/3/2025 7:40,40.182,43.788,38.681,37.246,36.307,34.235,38.309,33.028,32.689,34.188,7.336,4.432,4.587,1.484,4.55,4.463,9.812,11.519,2.865,5.691,9.915,10.972,6.167,12.346,6.153,10.283,5.118,5.906,5.683,5.444
2/3/2025 7:45,37.77,41.128,37.793,38.241,30.021,29.304,37.728,29.792,28.685,29.725,4.273,0.497,0.76,0.495833333,0.489,0.479,4.746,7.635,--,5.308,5.199,6.506,9.532,5.541,8.597,5.32,3.779,3.766,3.058,4.028
