Chart Title: ,Avg Available Memory Bytes (Preview) for AFAS Next Production V1 in West Europe region  by VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mon, 03 Feb 2025 00:00:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, 09 Feb 2025 23:59:00 GMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain: 5 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregation type: Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grouping: VMName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chart type: Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dbg002-SS_0,Clstr004-SS_3,Clstr004-SS_2,Clstr004-SS_1,Clstr004-SS_0,Clstr004-SS_4,Clstr003-SS_2,Clstr003-SS_3,Clstr003-SS_4,Clstr003-SS_1,Clstr003-SS_0,Clstr009-SS_3,Clstr009-SS_7,Clstr009-SS_8,Clstr009-SS_0,Clstr009-SS_2,Clstr009-SS_9,Clstr009-SS_5,Clstr009-SS_6,Clstr009-SS_1,Clstr009-SS_4,Clstr008-SS_3,Clstr008-SS_2,Clstr008-SS_4,Clstr008-SS_1,Clstr008-SS_0,proxy001L-SS_6,proxy001L-SS_7,proxy001L-SS_5,proxy001L-SS_8
2/3/2025 2:25,1.12425E+11,98497357414,95735827661,98032209101,98768204595,98776802918,89597463757,86805630157,89370761626,87936519373,87519186125,52887132570,51860576666,50703368192,49189643878,46945166950,47532788941,47498919936,47390706893,47442087117,47324436890,29928561050,30080289997,29857572454,30060052480,29928561050,2584530125,2500853760,2524971008,2544474522
2/3/2025 2:30,1.12266E+11,99377112678,91762248909,97248503398,98777956352,99110879232,92701458432,86192318054,89368769331,88562938675,87930227917,52859240448,51873893581,50749715251,49262310195,46951563264,47590355763,47559003341,47476690125,47591614054,47378333696,29984869581,30084379443,29961696051,30185567027,30023876608,2582642688,2533359616,2535981056,2537344205
2/3/2025 2:35,1.12502E+11,99511225549,95302451200,97106526208,98790014976,99176834662,92279826022,86095744205,89334166323,88847941632,88329001370,52826524877,51768616550,50781172531,49279401984,46862748877,47613948723,47573159117,47442925978,47630306509,47392804045,30010245120,30010035405,29961486336,30166692659,30020101734,2576665805,2514904678,2542272512,2534408192
2/3/2025 2:40,1.12779E+11,98932411597,95866899661,95202731622,98943526502,99106580070,90845478912,86374141133,89470166630,88832108134,88571432141,52760045158,51874417869,50659118285,49189643878,46944747520,47486651597,47444289126,47328840909,47511293133,47302836224,29948588851,30058899046,29876132250,30094865203,29944499405,2579916390,2507145216,2539441357,2534408192
2/3/2025 2:45,1.12881E+11,98002429542,96018523750,96955531264,98999835034,98711162061,92426416947,86382320026,89643915674,88724733952,88611907174,52700276326,51862883533,50785471693,49296284058,46951877837,47622966477,47575990272,47446386278,47602728960,47399724646,29983401574,30046211277,29955824026,30170886963,30021255168,2575092941,2507145216,2535247053,2534408192
2/3/2025 2:50,1.12977E+11,97710505984,96034252390,97949161882,98922974413,97817041306,92315897037,85531924890,89570200781,88505581568,88985409946,52702163763,51800493261,50755587277,49280555418,46890431283,47596018074,47566972518,47443345408,47603148390,47382423142,30004582810,29949532570,29960962048,30179695002,30019472589,2572576358,2505362637,2532311040,2534408192
2/3/2025 2:55,1.1299E+11,99003505050,95935791104,97595477197,99045028659,97794706637,92563465830,85538111488,89644859392,88897644134,89311097651,52605904486,51850929766,50715007386,49207679386,46942230938,47531845222,47498395648,47357257318,47534152090,47314789990,29909791539,30080289997,29859459891,30079975424,29935796224,2571947213,2506516070,2536715059,2533988762
2/3/2025 3:00,1.12871E+11,99438244659,96047569306,97855943475,99051424973,97718789734,92572693299,85676942950,90493786522,89020012954,89062060851,52555572838,51876410163,50754748416,49268811366,46951772979,47589202330,47547469005,47432545075,47615731302,47373195674,29994306765,30074837402,29962010624,30184413594,30029434061,2565131469,2524971008,2538392781,2533359616
2/3/2025 3:05,1.12984E+11,99613776282,96063612518,97878383002,99710454989,97176361370,92838402458,85669917491,91273402778,89037838746,89104423322,52584303821,51770713702,50778760806,49285378867,46865894605,47610278707,47559108198,47437368525,47630516224,47396369203,30004163379,30012237414,29957082317,30174032691,30026602906,2562719744,2521510707,2539336499,2546047386
2/3/2025 3:10,1.12933E+11,99627722342,95607586816,97862025216,1.001E+11,97100863898,92851929088,85825421312,90774385459,89239375053,89317703680,52563961446,51864351539,50655133696,49187441869,46941392077,47489063322,47459283763,47324436890,47495774208,47278614118,29929609626,30067077939,29858201600,30101366374,29934223360,2561671168,2522978714,2532625613,2555904000
2/3/2025 3:15,1.12907E+11,99691161190,95056560128,98080338739,1.00154E+11,97143436083,92143825715,85853837722,90662502400,89364260454,89358807859,52540368486,51865190400,50782011392,49293452902,46952926413,47622442189,47556591616,47437368525,47634395955,47401612083,29987176448,30077353984,29947540275,30175081267,30020206592,2557791437,2523712717,2527907021,2554016563
2/3/2025 3:20,1.13004E+11,99288088576,95319752704,98400573850,1.00088E+11,97212746957,92473498010,85563487027,90663970406,89284988109,89288028979,52606323917,51804687565,50760305869,49274578534,46873968640,47598639514,47545266995,47434851942,47607447552,47373300531,29987700736,29982143283,29953622016,30184518451,30025659187,2556428288,2520986419,2523293286,2543111373
2/3/2025 3:25,1.13007E+11,99129858458,95852848742,98784352666,99591546470,93637312512,92715404493,85348109517,90278723584,89329762304,88816169779,52785735270,51862568960,50713224806,49211349402,46944223232,47528070349,47489273037,47354426163,47546315571,47318460006,29905072947,30062044774,29858725888,30075990835,29943345971,2556428288,2520776704,2542272512,2548459110
2/3/2025 3:30,1.12932E+11,99209445376,96427678106,98870650470,99407101952,94687041946,92569232998,85812418970,90363133952,89365099315,88371363840,52995345613,51882387046,50757369856,49273425101,46959532442,47588782899,47539709542,47429818778,47611641856,47376655974,29958864896,30072845107,29953097728,30175186125,30019158016,2556008858,2509452083,2528011878,2559888589
2/3/2025 3:35,1.13006E+11,99318287565,96498352128,99559774618,99389381018,98295191962,92787127091,85817556992,86695529677,89918852301,87347953664,52967558349,51768301978,50778865664,49287476019,46894835302,47613843866,47546735002,47428141056,47621708186,47394586624,29987281306,30003848806,29953307443,30163127501,30021360026,2582852403,2501902336,2524551578,2551395123
2/3/2025 3:40,1.12901E+11,99561976627,96448544768,99802415104,99786896179,98274744730,92795096269,85666142618,91015977370,89728535757,88826970112,52835437773,51880185037,50663417446,49158396314,46947683533,47503743386,47451000013,47321186304,47499234509,47280082125,29915244134,30059108762,29868477645,30098640077,29924366746,2576980378,2501902336,2522873856,2542062797
2/3/2025 3:45,1.12778E+11,99697872077,95451558707,99865853952,1.00321E+11,98410954752,92787336806,85791866880,88926270259,89149826662,89437660774,52752600269,51862464102,50785471693,49295759770,46971171635,47695842509,47558583910,47450370867,47575465984,47388400026,29984345293,30109754982,29953936589,30172354970,30009615974,2572366643,2501902336,2531262464,2541748224
2/3/2025 3:50,1.12879E+11,99426920038,95657603891,99812796006,1.00293E+11,98427522253,93151192678,85639299072,88605406003,89508754227,87922153882,52758682010,51801961267,50760410726,49288314880,46909620224,47686615040,47538975539,47455404032,47527650918,47365016781,29988854170,29986442445,29956662886,30182001869,30015488000,2573205504,2501902336,2528221594,2541014221
2/3/2025 3:55,1.12919E+11,99063693312,93782330573,99365997773,1.00321E+11,98341853594,93856674611,85842198528,87281054515,89506761933,87468330189,52639773491,51858269798,50695923302,49295654912,46974422221,47628733645,47450161152,47361137050,47467357798,47311015117,29889239450,30104197530,29842577818,30084694016,29910944973,2572261786,2495610880,2517630976,2539231642
2/3/2025 4:00,1.1282E+11,99246564966,93620115866,99493819187,1.00831E+11,98425320243,93769537946,85922519450,89509802803,88732178842,88192476774,52588288410,51845791744,50748876390,49327426765,46952087552,47712514867,47511817421,47486022451,47519891456,47322968883,29961696051,30100527514,29947645133,30175290982,30008147968,2566180045,2516162970,2518260122,2540909363
2/3/2025 4:05,1.12779E+11,99109516083,95615136563,99870257971,98176178586,98793999565,93740492390,82958929101,89233817600,89377577370,88044942131,52554314547,51676761293,50764500173,49274683392,46837792768,47777316864,47537612390,47543694131,47527546061,47282493850,29974174106,30021569741,29938627379,30164280934,30008881971,2563768320,2516792115,2518994125,2562719744
2/3/2025 4:10,1.12813E+11,98338603008,95819399168,99896367514,1.01005E+11,98897598874,93711341978,87362528870,89128435712,88893764403,88167835238,52474727629,51791370650,50664361165,49190168166,46919162266,47674766131,47444393984,47441667686,47411992986,47144081818,29888715162,30088049459,29873930240,30083540582,29929504768,2559574016,2516582400,2517001830,2548249395
2/3/2025 4:15,1.12762E+11,98331682406,96091399782,99966202675,1.01006E+11,98959884288,93714382848,87653089280,89024626688,89228050432,88190379622,52548127949,51774698291,50767436186,49356786893,46922028373,47791158067,47539290112,47555123610,47535829811,47276097536,29979312128,30099164365,29951315149,30170152960,30012342272,2559364301,2507145216,2518155264,2546676531
2/3/2025 4:20,1.12809E+11,97822179328,96269657702,99868055962,99886930330,99076695654,93365521613,87645644390,87995239629,89345595802,88130401075,52623101133,51725624934,50739334349,49342001971,46873444352,47761273651,47527231488,47542855270,47521883750,47253028864,29986232730,29994831053,29954356019,30172564685,30016222003,2589982720,2500014899,2519203840,2550556262
2/3/2025 4:25,1.12795E+11,97993936077,96398737408,99870257971,1.00049E+11,99022589133,93653565440,87662526464,89286560973,89420254413,85033012429,52576439501,51787700634,50682920960,49292299469,46905740493,47688292762,47464212070,47457606042,47432859648,47186968576,29896894054,30094131200,29846457549,30092243763,29914719846,2589773005,2499805184,2522873856,2542901658
2/3/2025 4:30,1.12709E+11,97779712000,97184854835,99546772275,1.00178E+11,99207977370,93426024448,87211219354,89324204851,89442798797,84967161856,52850432410,51782248038,50720250266,49363917210,46905321062,47743762432,47527860634,47483820442,47511188275,47234783642,29967672934,30091929190,29954565734,30177388134,30018004582,2575092941,2499385754,2527907021,2539965645
2/3/2025 4:35,1.12846E+11,97372130509,97193662874,99326676173,1.00137E+11,99229682893,92727358259,87285143962,89395822592,89400646042,86337126400,53108382106,51639641702,50728848589,49445915853,46770788762,47749844173,47554284749,47364911923,47527441203,47242333389,29978368410,30022723174,29953202586,30172984115,30018319155,2584530125,2495820595,2531262464,2539336499
2/3/2025 4:40,1.12866E+11,97516938854,97113761382,99470331085,1.00459E+11,99129648742,92188390195,87586399846,89443113370,87954450022,88381535027,53006984806,51747015885,50631750451,49321030451,46812102656,47638799974,47462953779,47236356506,47411992986,47143662387,29895111475,30071901389,29865017344,30086686310,29926988186,2582118400,2494772019,2517630976,2536505344
2/3/2025 4:45,1.12352E+11,97598098637,97313305395,99578229555,1.01118E+11,99255792435,92033934950,87639562650,89479918387,86939218739,88471083418,52930543616,51734957261,50780438528,49444552704,46837583053,47758127923,47556172186,47363758490,47542750413,47262780621,29974174106,30064875930,29947749990,30173927834,30011083981,2584634982,2486068838,2516582400,2535876198
2/3/2025 4:50,1.12445E+11,97614351565,97344657818,99523389030,1.00324E+11,99271311360,93601765786,82932609843,89385861120,86864560128,88380276736,52933269914,51661242368,50772993638,49422847181,46832654746,47727090074,47540024115,47362080768,47533418086,47237614797,29980046131,29973964390,29952573440,30179904717,30016117146,2583166976,2484181402,2514485248,2541119078
2/3/2025 4:55,1.12237E+11,97669087232,97265385472,99558726042,1.00126E+11,99171172352,93561710182,79565003162,89139550618,87411392512,88430398669,52816248832,51738627277,50716685107,49370628096,46850270822,47663441510,47476480410,47279243264,47447749427,47135483494,29900668928,30090461184,29858725888,30104407245,29920382157,2582642688,2484181402,2512283238,2540280218
2/3/2025 5:00,1.11958E+11,97639097958,97357660160,98837305754,1.00057E+11,99111718093,93753599590,78847882035,89083346944,87433622323,88170246963,52758262579,51727302656,50766282752,49396213350,46875226931,47727928934,47530691789,47446700851,47532684083,47200809779,29975642112,30088783462,29962430054,30185776742,30018633728,2582642688,2514694963,2509556941,2534617907
2/3/2025 5:05,1.11888E+11,98122072064,97365000192,98329060966,1.00248E+11,98973830349,93863175782,85045490483,87569098342,87160887706,87977833267,52704785203,51638278554,50794594304,49358254899,46918218547,47753514189,47538870682,47513075712,47555228467,47222305587,29985393869,29998710784,29961486336,30182526157,30009301402,2582432973,2528536166,2506830643,2533359616
2/3/2025 5:10,1.11913E+11,98185825485,97259723162,98365341696,1.00555E+11,99117170688,94333042688,87634844058,87624253440,84697363251,87992198758,52586715546,51767672832,50689317274,49245637837,46921049702,47611641856,47410420122,47394901197,47411258982,47187283149,29903080653,30075571405,29878648832,30096647782,29944289690,2580126106,2520357274,2524656435,2531891610
2/3/2025 5:15,1.11975E+11,98241609728,97583313715,98431716557,1.00276E+11,99872879411,94292462797,87902755226,85403893760,84995368550,88042110976,52508282061,51703185408,50802668339,49363288064,46931640320,47741350707,47534676378,47493991629,47647503155,47331147776,29981723853,30055333888,29966938931,30174032691,30018528870,2578448384,2510500659,2537658778,2529584742
2/3/2025 5:20,1.12288E+11,98176283443,98655482675,98778166067,97652729446,1.00455E+11,94056323482,87625616589,85418993254,85369290752,87506288640,52580528947,51627478221,50778131661,49342316544,46881623245,47714821734,47597066650,47492838195,47657988915,47313426842,29986966733,29998501069,29971342950,30185671885,30023247462,2578343526,2508298650,2537553920,2527068160
2/3/2025 5:25,1.12269E+11,98241714586,97612988416,99070089626,97269265203,1.00031E+11,93617284710,87650887270,85114906214,85529303450,88121593037,52566582886,51700668826,50783793971,49279821414,46914129101,47656206336,47526182912,47396159488,47600736666,47231218483,29918075290,30083960013,29864283341,30100422656,29929399910,2562090598,2507984077,2534198477,2528850739
2/3/2025 5:30,1.12183E+11,98143672730,97462832333,99362852045,97959752499,94455935795,93662792909,85867783782,84846261043,86505003418,88232742093,52563542016,51768301978,50804241203,49340533965,46979245670,47712829440,47585217741,47458759475,47674136986,47307240243,29970923520,30072320819,29962325197,30185776742,30021150310,2559574016,2531786752,2525495296,2550765978
2/3/2025 5:35,1.09833E+11,97902919680,97339624653,98828183142,98200086118,97500790784,93775934259,86399411814,84448641024,84624067789,88071366246,52831243469,51654846054,50811686093,49354375168,46927550874,47740511846,47566238515,47404338381,47640582554,47326114611,29982248141,29996718490,29962010624,30182211584,30020206592,2587780710,2524027290,2520986419,2547620250
2/3/2025 5:40,1.12135E+11,97995404083,97331760333,98718711808,99161630310,97823437619,93556047872,86763791974,84647975322,84619978342,88263150797,52999959347,51767148544,50691624141,49188071014,46912765952,47609649562,47427511910,47365331354,47493572198,47229435904,29903290368,30062359347,29867953357,30087839744,29927512474,2562300314,2523922432,2518679552,2546991104
2/3/2025 5:45,1.1208E+11,98092397363,97529312051,98819584819,96126736794,98007672422,92893976986,87075323904,84589464781,85213367501,87712333824,52972696371,51727617229,50804765491,49293767475,46970961920,47768403968,47522932326,47465575219,47611432141,47337544090,29978997555,30106818970,29956138598,30174032691,30014334566,2563873178,2520357274,2518679552,2545627955
