timestamp,cpu_power_w,dram_power_w,read_bytes,write_bytes,cpu_percent,memory_rss_mb,memory_vms_mb,thread_count,io_read_count,io_write_count,io_read_bytes_total,io_write_bytes_total
2025-05-13 15:21:03,44.792,4.332,27865088,0,539.00,30556.27,32031.99,52,2030194,2273901,10194649088,27319267328
2025-05-13 15:21:03,50.614,4.362,3244032,0,159.70,30556.27,32031.99,52,2030390,2274096,10194747392,27319267328
2025-05-13 15:21:04,44.472,3.864,0,0,139.70,30556.27,32031.99,52,2030591,2274297,10194747392,27319267328
2025-05-13 15:21:04,44.224,3.744,0,0,139.80,30556.27,32031.99,52,2030793,2274499,10194747392,27319267328
2025-05-13 15:21:04,45.276,3.766,0,0,139.80,30556.27,32031.99,52,2030993,2274699,10194747392,27319267328
2025-05-13 15:21:04,42.256,3.780,0,0,139.70,30556.27,32031.99,52,2031194,2274900,10194747392,27319267328
2025-05-13 15:21:04,42.122,3.690,0,0,139.80,30556.27,32031.99,52,2031399,2275104,10194845696,27319267328
2025-05-13 15:21:05,41.203,3.941,98304,0,69.90,30556.27,32031.99,52,2031600,2275305,10194845696,27319267328
2025-05-13 15:21:05,38.242,3.763,0,0,149.70,30556.27,32031.99,52,2031866,2275550,10195656704,27319267328
2025-05-13 15:21:05,46.802,3.975,811008,0,59.90,30556.27,32031.99,52,2032067,2275751,10195656704,27319267328
2025-05-13 15:21:05,42.942,3.807,0,0,69.90,30556.27,32031.99,52,2032272,2275954,10195664896,27319267328
2025-05-13 15:21:05,45.218,4.285,1167360,0,69.90,30556.27,32031.99,52,2032551,2276208,10196824064,27319267328
2025-05-13 15:21:06,45.736,4.047,16384,8192,189.60,30556.27,32031.99,52,2032818,2276457,10196971520,27319275520
2025-05-13 15:21:06,44.550,4.170,147456,1757184,79.90,30556.27,32031.99,52,2033359,2277087,10196987904,27321032704
2025-05-13 15:21:06,44.269,3.852,0,0,49.90,30556.27,32031.99,52,2033563,2277290,10196987904,27321032704
2025-05-13 15:21:06,42.199,3.821,53248,0,119.80,30556.27,32031.99,52,2033782,2277507,10197041152,27321053184
2025-05-13 15:21:06,40.394,3.844,0,24576,69.90,30556.27,32031.99,52,2033986,2277712,10197041152,27321057280
2025-05-13 15:21:07,42.098,3.799,0,0,59.90,30556.27,32031.99,52,2034188,2277914,10197041152,27321057280
2025-05-13 15:21:07,42.079,3.740,0,0,49.90,30556.27,32031.99,52,2034389,2278115,10197041152,27321057280
2025-05-13 15:21:07,44.979,3.739,0,0,59.90,30556.27,32031.99,52,2034591,2278317,10197041152,27321057280
2025-05-13 15:21:07,42.144,3.745,0,0,89.80,30556.27,32031.99,52,2034792,2278518,10197041152,27321057280
2025-05-13 15:21:07,39.450,3.784,0,0,69.90,30556.27,32031.99,52,2035002,2278731,10197041152,27321077760
2025-05-13 15:21:08,40.315,3.810,0,20480,69.90,30556.27,32031.99,52,2035203,2278933,10197041152,27321077760
2025-05-13 15:21:08,38.755,3.781,0,0,49.90,30556.27,32031.99,52,2035405,2279134,10197041152,27321077760
2025-05-13 15:21:08,40.614,3.841,0,0,69.90,30556.27,32031.99,52,2035605,2279334,10197041152,27321077760
2025-05-13 15:21:08,40.383,3.755,0,0,59.90,30556.27,32031.99,52,2035806,2279535,10197041152,27321077760
2025-05-13 15:21:08,39.963,3.781,0,0,99.80,30556.27,32031.99,52,2036013,2279741,10197200896,27321077760
2025-05-13 15:21:09,43.674,4.136,225280,16384,109.80,30556.27,32031.99,52,2036275,2279995,10197266432,27321114624
2025-05-13 15:21:09,44.435,4.435,114688,98304,59.90,30556.27,32031.99,52,2036639,2280330,10197381120,27321208832
2025-05-13 15:21:09,46.328,3.881,0,16384,49.90,30556.27,32031.99,52,2036843,2280533,10197381120,27321208832
2025-05-13 15:21:09,42.812,3.877,8192,20480,69.90,30556.27,32031.99,52,2037069,2280757,10197389312,27321229312
2025-05-13 15:21:09,39.168,3.726,0,0,99.80,30556.27,32031.99,52,2037280,2280970,10197389312,27321237504
2025-05-13 15:21:10,44.061,4.276,0,8192,139.70,30556.27,32031.99,52,2037478,2281168,10197389312,27321237504
2025-05-13 15:21:10,47.476,4.218,32768,0,39.90,30556.27,32031.99,52,2037683,2281372,10197422080,27321237504
2025-05-13 15:21:10,46.863,3.907,0,0,49.90,30556.27,32031.99,52,2037883,2281572,10197422080,27321237504
2025-05-13 15:21:10,44.421,3.825,0,0,89.80,30556.27,32031.99,52,2038085,2281774,10197422080,27321237504
2025-05-13 15:21:10,42.483,3.827,0,0,49.90,30556.27,32031.99,52,2038286,2281975,10197422080,27321237504
2025-05-13 15:21:11,42.750,3.814,0,0,59.90,30556.27,32031.99,52,2038487,2282176,10197422080,27321237504
2025-05-13 15:21:11,42.555,3.882,0,0,59.90,30556.27,32031.99,52,2038688,2282377,10197422080,27321237504
2025-05-13 15:21:11,46.154,3.979,131072,0,179.70,30556.27,32031.99,52,2038951,2282625,10197659648,27321262080
2025-05-13 15:21:11,48.199,5.042,442368,24576,249.60,30556.27,32031.99,52,2039236,2282884,10198003712,27321262080
2025-05-13 15:21:11,44.190,4.350,28672,16384,169.70,30556.27,32031.99,52,2039452,2283101,10198024192,27321278464
2025-05-13 15:21:12,43.781,4.123,0,0,159.70,30556.27,32031.99,52,2039657,2283307,10198024192,27321282560
2025-05-13 15:21:12,44.357,4.262,0,4096,149.70,30556.27,32031.99,52,2039858,2283508,10198024192,27321282560
2025-05-13 15:21:12,46.835,4.215,12288,0,159.70,30556.27,32031.99,52,2040067,2283714,10198036480,27321282560
2025-05-13 15:21:12,44.299,4.210,0,0,149.70,30556.27,32031.99,52,2040267,2283914,10198036480,27321282560
2025-05-13 15:21:12,42.596,4.010,0,0,159.70,30556.27,32031.99,52,2040468,2284115,10198036480,27321282560
2025-05-13 15:21:13,43.933,4.164,237568,8192,249.60,30556.27,32031.99,52,2040749,2284373,10198757376,27321290752
2025-05-13 15:21:13,44.436,4.229,483328,0,149.70,30556.27,32031.99,52,2040950,2284574,10198757376,27321290752
2025-05-13 15:21:13,45.629,4.086,0,0,139.80,30556.27,32031.99,52,2041151,2284775,10198757376,27321290752
2025-05-13 15:21:13,42.078,3.859,0,0,139.70,30556.27,32031.99,52,2041352,2284977,10198757376,27321290752
2025-05-13 15:21:13,42.464,3.904,0,0,149.70,30556.27,32031.99,52,2041560,2285186,10198757376,27321303040
2025-05-13 15:21:14,42.430,3.874,0,12288,159.70,30556.27,32031.99,52,2041761,2285387,10198757376,27321303040
2025-05-13 15:21:14,43.699,4.053,118784,0,169.70,30556.27,32031.99,52,2041995,2285608,10198876160,27321303040
2025-05-13 15:21:14,46.010,4.099,139264,0,239.50,30556.27,32031.99,52,2042208,2285817,10199015424,27321303040
2025-05-13 15:21:14,45.316,4.317,0,0,229.70,30556.27,32031.99,52,2042457,2286050,10199572480,27321303040
2025-05-13 15:21:14,44.232,4.170,557056,0,69.90,30556.27,32031.99,52,2042658,2286251,10199572480,27321303040
2025-05-13 15:21:15,40.652,3.997,0,0,49.90,30556.27,32031.99,52,2042862,2286454,10199572480,27321303040
2025-05-13 15:21:15,43.837,3.899,0,0,99.80,30556.27,32031.99,52,2043064,2286656,10199572480,27321303040
2025-05-13 15:21:15,46.120,4.142,0,0,169.70,30556.27,32031.99,52,2043322,2286907,10199597056,27321352192
2025-05-13 15:21:15,40.428,3.916,24576,49152,89.80,30556.27,32031.99,52,2043523,2287108,10199597056,27321352192
2025-05-13 15:21:15,41.464,3.775,0,0,119.80,30556.27,32031.99,52,2043764,2287346,10199617536,27321397248
2025-05-13 15:21:16,40.786,3.862,20480,45056,109.80,30556.27,32031.99,52,2043977,2287555,10199687168,27321397248
2025-05-13 15:21:16,43.520,3.979,2355200,0,109.80,30556.27,32031.99,52,2044760,2288144,10205782016,27321397248
2025-05-13 15:21:16,42.880,4.061,3813376,0,199.60,30556.27,32031.99,52,2045084,2288431,10211008512,27321409536
2025-05-13 15:21:16,44.793,4.057,5222400,12288,199.60,30556.27,32031.99,52,2045291,2288636,10211041280,27321409536
2025-05-13 15:21:16,44.234,4.034,32768,0,119.80,30556.27,32031.99,52,2045492,2288837,10211041280,27321409536
2025-05-13 15:21:17,41.028,3.922,0,0,59.90,30556.27,32031.99,52,2045693,2289038,10211041280,27321409536
2025-05-13 15:21:17,42.537,4.087,28672,0,59.90,30556.27,32031.99,52,2045933,2289277,10211069952,27321565184
2025-05-13 15:21:17,46.172,3.960,8192,155648,49.90,30556.27,32031.99,52,2046140,2289482,10211078144,27321565184
2025-05-13 15:21:17,43.414,3.930,0,0,79.80,30556.27,32031.99,52,2046342,2289684,10211078144,27321565184
2025-05-13 15:21:17,39.673,3.820,0,0,69.90,30556.27,32031.99,52,2046549,2289893,10211078144,27321573376
2025-05-13 15:21:18,39.657,3.869,0,8192,59.90,30556.27,32031.99,52,2046750,2290094,10211078144,27321573376
2025-05-13 15:21:18,42.071,3.852,0,0,59.90,30556.27,32031.99,52,2046952,2290296,10211078144,27321573376
2025-05-13 15:21:18,43.044,3.839,0,0,69.90,30556.27,32031.99,52,2047152,2290496,10211078144,27321573376
2025-05-13 15:21:18,39.773,3.779,0,0,209.60,30556.27,32031.99,52,2047353,2290697,10211078144,27321573376
2025-05-13 15:21:18,41.398,3.992,0,0,69.90,30556.27,32031.99,52,2047555,2290899,10211078144,27321573376
2025-05-13 15:21:19,39.129,3.809,0,0,69.90,30556.27,32031.99,52,2047756,2291100,10211078144,27321573376
2025-05-13 15:21:19,42.503,3.913,0,0,49.90,30556.27,32031.99,52,2047961,2291305,10211078144,27321573376
2025-05-13 15:21:19,45.930,3.914,0,0,79.90,30556.27,32031.99,52,2048162,2291506,10211078144,27321573376
2025-05-13 15:21:19,38.448,3.801,0,0,69.90,30556.27,32031.99,52,2048363,2291707,10211078144,27321573376
2025-05-13 15:21:19,39.769,3.907,28672,0,59.90,30556.27,32031.99,52,2048585,2291922,10211106816,27321573376
2025-05-13 15:21:20,41.106,4.100,319488,0,109.80,30556.27,32031.99,52,2048952,2292234,10212499456,27321573376
2025-05-13 15:21:20,41.675,3.834,1073152,0,69.90,30556.27,32031.99,52,2049156,2292437,10212503552,27321573376
2025-05-13 15:21:20,40.180,3.792,4096,0,69.90,30556.27,32031.99,52,2049356,2292637,10212503552,27321573376
2025-05-13 15:21:20,37.273,3.854,0,0,69.90,30556.27,32031.99,52,2049557,2292838,10212503552,27321573376
2025-05-13 15:21:20,38.111,3.807,0,0,79.90,30556.27,32031.99,52,2049759,2293040,10212503552,27321573376
2025-05-13 15:21:21,37.773,3.799,0,77824,69.90,30556.27,32031.99,52,2049965,2293249,10212503552,27321651200
2025-05-13 15:21:21,40.417,3.834,0,0,59.90,30556.27,32031.99,52,2050166,2293450,10212503552,27321651200
2025-05-13 15:21:21,37.700,3.786,0,0,69.90,30556.27,32031.99,52,2050368,2293652,10212503552,27321651200
2025-05-13 15:21:21,40.107,3.957,0,4096,79.90,30556.27,32031.99,52,2050582,2293864,10212519936,27321655296
2025-05-13 15:21:21,40.762,3.978,16384,12288,49.90,30556.27,32031.99,52,2050795,2294081,10212519936,27321675776
2025-05-13 15:21:22,39.765,3.866,32768,8192,69.90,30556.27,32031.99,52,2051000,2294285,10212552704,27321675776
2025-05-13 15:21:22,42.936,4.117,114688,0,179.70,30556.27,32031.99,52,2051227,2294501,10212700160,27321675776
2025-05-13 15:21:22,46.306,4.583,45056,94208,159.70,30556.27,32031.99,52,2051517,2294780,10212782080,27321769984
2025-05-13 15:21:22,47.341,4.363,106496,0,149.70,30556.27,32031.99,52,2051747,2295000,10212831232,27321769984
2025-05-13 15:21:22,44.673,4.409,425984,184320,279.50,30556.27,32031.99,52,2052228,2295451,10213277696,27322040320
2025-05-13 15:21:23,44.477,4.320,32768,155648,219.60,30556.27,32031.99,52,2052558,2295775,10213277696,27322167296
2025-05-13 15:21:23,45.384,4.338,0,126976,219.60,30556.27,32031.99,52,2052895,2296110,10213277696,27322335232
2025-05-13 15:21:23,45.835,4.269,0,172032,239.60,30556.27,32031.99,52,2053232,2296441,10213281792,27322466304
2025-05-13 15:21:23,44.767,4.446,4096,143360,768.60,30556.27,32031.99,52,2053978,2297106,10213339136,27322986496
2025-05-13 15:21:23,52.183,6.132,57344,946176,658.90,30556.27,32031.99,52,2055224,2298159,10213339136,27324264448
2025-05-13 15:21:24,50.718,5.782,8192,1486848,648.70,30556.27,32031.99,52,2056175,2299101,10213363712,27325403136
2025-05-13 15:21:24,52.719,5.778,81920,675840,718.70,30556.27,32031.99,52,2057549,2300252,10213449728,27326103552
2025-05-13 15:21:24,51.607,5.700,110592,1060864,668.90,30556.27,32031.99,52,2058584,2301283,10213879808,27327180800
2025-05-13 15:21:24,50.593,5.538,442368,1105920,588.90,30556.27,32031.99,52,2059489,2302281,10214076416,27328675840
2025-05-13 15:21:24,49.768,5.324,126976,1785856,509.10,30556.27,32031.99,52,2060333,2303297,10214166528,27330678784
2025-05-13 15:21:25,48.052,4.887,57344,1810432,449.20,30556.27,32031.99,52,2060920,2304017,10214166528,27331739648
2025-05-13 15:21:25,47.972,4.935,0,401408,459.10,30556.27,32031.99,52,2061315,2304455,10214256640,27332038656
2025-05-13 15:21:25,48.180,4.902,90112,5640192,449.20,30556.61,32031.99,52,2061834,2305151,10214256640,27337760768
2025-05-13 15:21:25,46.779,4.680,0,520192,459.20,30556.61,32031.99,52,2062333,2305752,10214256640,27338194944
2025-05-13 15:21:25,46.509,4.880,0,557056,459.20,30556.61,32031.99,52,2062809,2306322,10214256640,27338715136
2025-05-13 15:21:26,46.311,4.754,0,446464,459.10,30556.61,32031.99,52,2063311,2306926,10214256640,27339210752
2025-05-13 15:21:26,46.583,4.672,0,417792,399.30,30556.61,32031.99,52,2063788,2307495,10214256640,27339608064
2025-05-13 15:21:26,46.994,4.736,0,430080,449.30,30556.61,32031.99,52,2064268,2308071,10214256640,27340099584
2025-05-13 15:21:26,45.928,4.873,0,466944,409.30,30556.61,32031.99,52,2064735,2308632,10214256640,27340496896
2025-05-13 15:21:26,46.105,4.889,0,364544,399.30,30556.61,32031.99,52,2065061,2309002,10214256640,27340689408
2025-05-13 15:21:27,46.056,5.161,12288,1466368,409.30,30556.61,32031.99,52,2065272,2309227,10214268928,27342135296
2025-05-13 15:21:27,45.187,4.592,0,102400,489.10,30556.61,32031.99,52,2065675,2309700,10214268928,27342430208
2025-05-13 15:21:27,46.361,4.793,0,483328,449.20,30556.61,32031.99,52,2066158,2310277,10214268928,27342913536
2025-05-13 15:21:27,43.974,4.903,0,417792,459.20,30556.61,32031.99,52,2066645,2310861,10214268928,27343327232
2025-05-13 15:21:27,46.139,4.644,0,397312,449.20,30556.61,32031.99,52,2067130,2311444,10214268928,27343745024
2025-05-13 15:21:28,45.951,4.678,0,212992,369.30,30556.61,32031.99,52,2067335,2311650,10214268928,27343749120
2025-05-13 15:21:28,44.449,4.458,0,69632,469.20,30556.61,32031.99,52,2067720,2312099,10214268928,27344080896
2025-05-13 15:21:28,46.429,4.475,0,458752,459.10,30556.61,32031.99,52,2068182,2312653,10214268928,27344470016
2025-05-13 15:21:28,45.528,4.534,0,401408,429.20,30556.61,32031.99,52,2068678,2313249,10214268928,27344900096
2025-05-13 15:21:28,46.157,4.753,0,479232,409.30,30556.61,32031.99,52,2069128,2313788,10214268928,27345330176
2025-05-13 15:21:29,47.137,4.667,0,380928,409.20,30556.61,32031.99,52,2069590,2314341,10214268928,27345715200
2025-05-13 15:21:29,47.176,4.573,0,176128,399.30,30556.61,32031.99,52,2069792,2314543,10214268928,27345715200
2025-05-13 15:21:29,47.005,5.042,0,135168,399.30,30556.79,32031.99,52,2070201,2315037,10214268928,27346059264
2025-05-13 15:21:29,46.146,4.804,0,409600,489.20,30556.79,32031.99,52,2070694,2315628,10214268928,27346542592
2025-05-13 15:21:29,45.911,5.151,36864,299008,538.90,30556.79,32031.99,52,2070917,2315852,10214305792,27346558976
2025-05-13 15:21:30,46.875,5.262,0,184320,419.60,30556.79,32031.99,52,2071192,2316113,10214322176,27346747392
2025-05-13 15:21:30,47.378,5.167,16384,32768,359.30,30556.79,32031.99,52,2071428,2316346,10214322176,27346776064
2025-05-13 15:21:30,45.783,5.124,0,0,489.20,30556.79,32031.99,52,2071732,2316675,10214322176,27346907136
2025-05-13 15:21:30,46.774,5.098,0,331776,509.00,30556.79,32031.99,52,2072175,2317198,10214322176,27347251200
2025-05-13 15:21:30,46.630,5.312,0,352256,489.10,30556.79,32031.99,52,2072629,2317739,10214322176,27347615744
2025-05-13 15:21:31,47.536,5.310,0,331776,429.30,30556.79,32031.99,52,2073026,2318204,10214322176,27347972096
2025-05-13 15:21:31,46.158,5.258,0,180224,459.20,30556.79,32031.99,52,2073221,2318398,10214322176,27347972096
2025-05-13 15:21:31,45.026,5.499,0,16384,439.10,30556.79,32031.99,52,2073515,2318711,10214363136,27348090880
2025-05-13 15:21:31,47.905,5.637,466944,212992,449.30,30556.79,32031.99,52,2074012,2319261,10214793216,27348430848
2025-05-13 15:21:31,46.885,5.329,4096,434176,528.90,30556.79,32031.99,52,2074488,2319828,10214793216,27348832256
2025-05-13 15:21:32,47.534,5.344,0,249856,369.30,30556.79,32031.99,52,2074739,2320088,10214813696,27348963328
2025-05-13 15:21:32,48.808,5.237,73728,77824,469.10,30556.79,32031.99,52,2075006,2320331,10214916096,27348971520
2025-05-13 15:21:32,46.645,5.587,110592,32768,389.30,30556.79,32031.99,52,2075287,2320610,10214981632,27349037056
2025-05-13 15:21:32,46.346,5.222,16384,344064,389.30,30556.79,32031.99,52,2075853,2321260,10215071744,27349569536
2025-05-13 15:21:32,48.307,5.177,655360,282624,449.20,30556.79,32031.99,52,2076320,2321693,10215653376,27349938176
2025-05-13 15:21:33,46.061,5.385,8192,765952,409.20,30556.79,32031.99,52,2076716,2322111,10215665664,27350474752
2025-05-13 15:21:33,48.308,5.130,28672,110592,319.40,30556.79,32031.99,52,2076955,2322352,10215686144,27350515712
